symbol,yahoo,quantity,price_2026_06_01,price_usd,currency,currency_raw,fx_to_usd,market_value_local,market_value_usd,market_value_usd_if_usd,target_dec_2026,target_dec_2026_usd,upside_to_target_pct,category,action_bias,thesis,price_error,price_date
ICG,ICG.CN,8,0.46,0.33,CAD,CAD,0.722585,3.68,2.66,2.66,0.46,0.33,0.0,Microcap Canada,manter apenas residual,posição residual CAD; baixa liquidez,,2026-06-01
AMZN,AMZN,50,261.26,261.26,USD,USD,1.000000,"13,063.00","13,063.00","13,063.00",297.84,297.84,14.0,Core tech,manter/aumentar moderado,"cloud, ads e consumo; qualidade alta",,2026-06-01
COPX,COPX,100,90.06,90.06,USD,USD,1.000000,"9,006.00","9,006.00","9,006.00",100.87,100.87,12.0,ETF cobre,manter,eletrificação e déficit estrutural de cobre,,2026-06-01
GOOGL,GOOGL,25,376.37,376.37,USD,USD,1.000000,"9,409.25","9,409.25","9,409.25",421.53,421.53,12.0,Core tech,manter,IA/search/cloud; valuation ainda razoável,,2026-06-01
HYMC,HYMC,10,32.84,32.84,USD,USD,1.000000,328.40,328.40,328.40,29.56,29.56,-10.0,Microcap metais,zerar ou residual,"opcionalidade alta, execução fraca",,2026-06-01
IBM,IBM,100,320.42,320.42,USD,USD,1.000000,"32,042.00","32,042.00","32,042.00",333.24,333.24,4.0,Value tech,reduzir,"defensiva, IA corporativa, menor convexidade",,2026-06-01
ICGB,,3,,,USD,,1.000000,,,,,,0.0,Residual sem cotação,sem ação econômica,posição com preço zero no extrato IBKR,sem ticker Yahoo; preço zero no extrato,
ICGC,,3,,,USD,,1.000000,,,,,,0.0,Residual sem cotação,sem ação econômica,posição com preço zero no extrato IBKR,sem ticker Yahoo; preço zero no extrato,
ICGD,,3,,,USD,,1.000000,,,,,,0.0,Residual sem cotação,sem ação econômica,posição com preço zero no extrato IBKR,sem ticker Yahoo; preço zero no extrato,
ICGE,,3,,,USD,,1.000000,,,,,,0.0,Residual sem cotação,sem ação econômica,posição com preço zero no extrato IBKR,sem ticker Yahoo; preço zero no extrato,
ICGF,,3,,,USD,,1.000000,,,,,,0.0,Residual sem cotação,sem ação econômica,posição com preço zero no extrato IBKR,sem ticker Yahoo; preço zero no extrato,
JPM,JPM,100,296.58,296.58,USD,USD,1.000000,"29,658.00","29,658.00","29,658.00",314.37,314.37,6.0,Financeiro core,reduzir,"banco de qualidade, mas peso atual alto",,2026-06-01
KTOS,KTOS,60,63.49,63.49,USD,USD,1.000000,"3,809.40","3,809.40","3,809.40",74.92,74.92,18.0,Defesa,manter,"drones, sistemas autônomos e defesa",,2026-06-01
LAES,LAES,1000,3.55,3.55,USD,USD,1.000000,"3,550.00","3,550.00","3,550.00",4.44,4.44,25.0,Semicondutores/segurança,reduzir para cesta,microcap com opcionalidade e risco,,2026-06-01
MSFT,MSFT,50,460.52,460.52,USD,USD,1.000000,"23,026.00","23,026.00","23,026.00",506.57,506.57,10.0,Core tech,manter,cloud/IA; qualidade máxima,,2026-06-01
NAUFF,NAUFF,2000,2.08,2.08,USD,USD,1.000000,"4,160.00","4,160.00","4,160.00",2.60,2.60,25.0,Urânio,manter pequeno,opcionalidade em ciclo nuclear,,2026-06-01
NTDOY,NTDOY,75,11.25,11.25,USD,USD,1.000000,843.75,843.75,843.75,12.04,12.04,7.0,Consumo/games,reduzir,"qualidade, mas fora das teses anexas",,2026-06-01
NVDA,NVDA,200,224.36,224.36,USD,USD,1.000000,"44,872.00","44,872.00","44,872.00",246.80,246.80,10.0,AI semis,reduzir peso,"liderança em IA, valuation exige disciplina",,2026-06-01
QBTS,QBTS,500,29.18,29.18,USD,USD,1.000000,"14,590.00","14,590.00","14,590.00",35.02,35.02,20.0,Quantum,reduzir,alto beta e risco de diluição,,2026-06-01
RGTI,RGTI,200,25.63,25.63,USD,USD,1.000000,"5,126.00","5,126.00","5,126.00",30.76,30.76,20.0,Quantum,reduzir,alto beta e risco de diluição,,2026-06-01
RKLB,RKLB,60,122.39,122.39,USD,USD,1.000000,"7,343.40","7,343.40","7,343.40",165.23,165.23,35.0,Espaço/defesa,aumentar,uma das top 5 dos anexos; execução real,,2026-06-01
RTX,RTX,30,174.41,174.41,USD,USD,1.000000,"5,232.30","5,232.30","5,232.30",188.36,188.36,8.0,Defesa core,manter,"defesa defensiva, menor upside que KTOS/RKLB",,2026-06-01
SHLD,SHLD,150,65.62,65.62,USD,USD,1.000000,"9,843.00","9,843.00","9,843.00",73.49,73.49,12.0,ETF defesa,manter,defesa/segurança como tema estrutural,,2026-06-01
URA,URA,100,50.54,50.54,USD,USD,1.000000,"5,054.00","5,054.00","5,054.00",58.12,58.12,15.0,ETF urânio,manter,ciclo nuclear e demanda de energia para IA,,2026-06-01
USGDF,USGDF,1000,0.12,0.12,USD,USD,1.000000,124.80,124.80,124.80,0.12,0.12,0.0,Microcap,zerar se possível,posição residual ilíquida,,2026-06-01
XOVR,XOVR,100,20.58,20.58,USD,USD,1.000000,"2,058.00","2,058.00","2,058.00",21.40,21.40,4.0,Renda fixa ETF,manter como caixa equivalente,equivalente defensivo/cash-like,,2026-06-01
