symbol,close,currency,currency_raw,fx_to_usd,close_usd,date,source,url,error
ALL.L,0.17,GBP,GBp,1.346000,0.22,2026-06-01,yahoo,https://query1.finance.yahoo.com/v8/finance/chart/ALL.L?period1=1779062400&period2=1780531200&interval=1d&events=history,
AMZN,261.26,USD,USD,1.000000,261.26,2026-06-01,yahoo,https://query1.finance.yahoo.com/v8/finance/chart/AMZN?period1=1779062400&period2=1780531200&interval=1d&events=history,
ARA.TO,4.45,CAD,CAD,0.722585,3.22,2026-06-01,yahoo,https://query1.finance.yahoo.com/v8/finance/chart/ARA.TO?period1=1779062400&period2=1780531200&interval=1d&events=history,
ARR.AX,0.39,AUD,AUD,0.716430,0.28,2026-06-01,yahoo,https://query1.finance.yahoo.com/v8/finance/chart/ARR.AX?period1=1779062400&period2=1780531200&interval=1d&events=history,
ASCU.TO,10.26,CAD,CAD,0.722585,7.41,2026-06-01,yahoo,https://query1.finance.yahoo.com/v8/finance/chart/ASCU.TO?period1=1779062400&period2=1780531200&interval=1d&events=history,
ASTS,105.65,USD,USD,1.000000,105.65,2026-06-01,yahoo,https://query1.finance.yahoo.com/v8/finance/chart/ASTS?period1=1779062400&period2=1780531200&interval=1d&events=history,
BEAM,31.14,USD,USD,1.000000,31.14,2026-06-01,yahoo,https://query1.finance.yahoo.com/v8/finance/chart/BEAM?period1=1779062400&period2=1780531200&interval=1d&events=history,
BKSY,42.38,USD,USD,1.000000,42.38,2026-06-01,yahoo,https://query1.finance.yahoo.com/v8/finance/chart/BKSY?period1=1779062400&period2=1780531200&interval=1d&events=history,
CDZI,4.70,USD,USD,1.000000,4.70,2026-06-01,yahoo,https://query1.finance.yahoo.com/v8/finance/chart/CDZI?period1=1779062400&period2=1780531200&interval=1d&events=history,
COPX,90.06,USD,USD,1.000000,90.06,2026-06-01,yahoo,https://query1.finance.yahoo.com/v8/finance/chart/COPX?period1=1779062400&period2=1780531200&interval=1d&events=history,
CRSP,54.19,USD,USD,1.000000,54.19,2026-06-01,yahoo,https://query1.finance.yahoo.com/v8/finance/chart/CRSP?period1=1779062400&period2=1780531200&interval=1d&events=history,
DNN,3.43,USD,USD,1.000000,3.43,2026-06-01,yahoo,https://query1.finance.yahoo.com/v8/finance/chart/DNN?period1=1779062400&period2=1780531200&interval=1d&events=history,
DYL.AX,1.60,AUD,AUD,0.716430,1.14,2026-06-01,yahoo,https://query1.finance.yahoo.com/v8/finance/chart/DYL.AX?period1=1779062400&period2=1780531200&interval=1d&events=history,
FCU.TO,,USD,,1.000000,,,yahoo,https://query1.finance.yahoo.com/v8/finance/chart/FCU.TO?period1=1779062400&period2=1780531200&interval=1d&events=history,HTTP Error 404: Not Found
GLO.TO,0.74,CAD,CAD,0.722585,0.53,2026-06-01,yahoo,https://query1.finance.yahoo.com/v8/finance/chart/GLO.TO?period1=1779062400&period2=1780531200&interval=1d&events=history,
GOOGL,376.37,USD,USD,1.000000,376.37,2026-06-01,yahoo,https://query1.finance.yahoo.com/v8/finance/chart/GOOGL?period1=1779062400&period2=1780531200&interval=1d&events=history,
HYMC,32.84,USD,USD,1.000000,32.84,2026-06-01,yahoo,https://query1.finance.yahoo.com/v8/finance/chart/HYMC?period1=1779062400&period2=1780531200&interval=1d&events=history,
IBM,320.42,USD,USD,1.000000,320.42,2026-06-01,yahoo,https://query1.finance.yahoo.com/v8/finance/chart/IBM?period1=1779062400&period2=1780531200&interval=1d&events=history,
ICG.CN,0.46,CAD,CAD,0.722585,0.33,2026-06-01,yahoo,https://query1.finance.yahoo.com/v8/finance/chart/ICG.CN?period1=1779062400&period2=1780531200&interval=1d&events=history,
IVN.TO,12.76,CAD,CAD,0.722585,9.22,2026-06-01,yahoo,https://query1.finance.yahoo.com/v8/finance/chart/IVN.TO?period1=1779062400&period2=1780531200&interval=1d&events=history,
JPM,296.58,USD,USD,1.000000,296.58,2026-06-01,yahoo,https://query1.finance.yahoo.com/v8/finance/chart/JPM?period1=1779062400&period2=1780531200&interval=1d&events=history,
KTOS,63.49,USD,USD,1.000000,63.49,2026-06-01,yahoo,https://query1.finance.yahoo.com/v8/finance/chart/KTOS?period1=1779062400&period2=1780531200&interval=1d&events=history,
LAAC,,USD,,1.000000,,,yahoo,https://query1.finance.yahoo.com/v8/finance/chart/LAAC?period1=1779062400&period2=1780531200&interval=1d&events=history,HTTP Error 404: Not Found
LAES,3.55,USD,USD,1.000000,3.55,2026-06-01,yahoo,https://query1.finance.yahoo.com/v8/finance/chart/LAES?period1=1779062400&period2=1780531200&interval=1d&events=history,
LYC.AX,18.67,AUD,AUD,0.716430,13.38,2026-06-01,yahoo,https://query1.finance.yahoo.com/v8/finance/chart/LYC.AX?period1=1779062400&period2=1780531200&interval=1d&events=history,
MOS,23.33,USD,USD,1.000000,23.33,2026-06-01,yahoo,https://query1.finance.yahoo.com/v8/finance/chart/MOS?period1=1779062400&period2=1780531200&interval=1d&events=history,
MP,69.29,USD,USD,1.000000,69.29,2026-06-01,yahoo,https://query1.finance.yahoo.com/v8/finance/chart/MP?period1=1779062400&period2=1780531200&interval=1d&events=history,
MSFT,460.52,USD,USD,1.000000,460.52,2026-06-01,yahoo,https://query1.finance.yahoo.com/v8/finance/chart/MSFT?period1=1779062400&period2=1780531200&interval=1d&events=history,
NAUFF,2.08,USD,USD,1.000000,2.08,2026-06-01,yahoo,https://query1.finance.yahoo.com/v8/finance/chart/NAUFF?period1=1779062400&period2=1780531200&interval=1d&events=history,
NGEX.V,,USD,,1.000000,,,yahoo,https://query1.finance.yahoo.com/v8/finance/chart/NGEX.V?period1=1779062400&period2=1780531200&interval=1d&events=history,HTTP Error 404: Not Found
NTDOY,11.25,USD,USD,1.000000,11.25,2026-06-01,yahoo,https://query1.finance.yahoo.com/v8/finance/chart/NTDOY?period1=1779062400&period2=1780531200&interval=1d&events=history,
NTR,69.57,USD,USD,1.000000,69.57,2026-06-01,yahoo,https://query1.finance.yahoo.com/v8/finance/chart/NTR?period1=1779062400&period2=1780531200&interval=1d&events=history,
NVDA,224.36,USD,USD,1.000000,224.36,2026-06-01,yahoo,https://query1.finance.yahoo.com/v8/finance/chart/NVDA?period1=1779062400&period2=1780531200&interval=1d&events=history,
NXE,11.40,USD,USD,1.000000,11.40,2026-06-01,yahoo,https://query1.finance.yahoo.com/v8/finance/chart/NXE?period1=1779062400&period2=1780531200&interval=1d&events=history,
OKLO,66.89,USD,USD,1.000000,66.89,2026-06-01,yahoo,https://query1.finance.yahoo.com/v8/finance/chart/OKLO?period1=1779062400&period2=1780531200&interval=1d&events=history,
PL,46.46,USD,USD,1.000000,46.46,2026-06-01,yahoo,https://query1.finance.yahoo.com/v8/finance/chart/PL?period1=1779062400&period2=1780531200&interval=1d&events=history,
PLTR,160.65,USD,USD,1.000000,160.65,2026-06-01,yahoo,https://query1.finance.yahoo.com/v8/finance/chart/PLTR?period1=1779062400&period2=1780531200&interval=1d&events=history,
PMET.V,,USD,,1.000000,,,yahoo,https://query1.finance.yahoo.com/v8/finance/chart/PMET.V?period1=1779062400&period2=1780531200&interval=1d&events=history,HTTP Error 404: Not Found
QBTS,29.18,USD,USD,1.000000,29.18,2026-06-01,yahoo,https://query1.finance.yahoo.com/v8/finance/chart/QBTS?period1=1779062400&period2=1780531200&interval=1d&events=history,
RCAT,14.84,USD,USD,1.000000,14.84,2026-06-01,yahoo,https://query1.finance.yahoo.com/v8/finance/chart/RCAT?period1=1779062400&period2=1780531200&interval=1d&events=history,
RGTI,25.63,USD,USD,1.000000,25.63,2026-06-01,yahoo,https://query1.finance.yahoo.com/v8/finance/chart/RGTI?period1=1779062400&period2=1780531200&interval=1d&events=history,
RKLB,122.39,USD,USD,1.000000,122.39,2026-06-01,yahoo,https://query1.finance.yahoo.com/v8/finance/chart/RKLB?period1=1779062400&period2=1780531200&interval=1d&events=history,
RTX,174.41,USD,USD,1.000000,174.41,2026-06-01,yahoo,https://query1.finance.yahoo.com/v8/finance/chart/RTX?period1=1779062400&period2=1780531200&interval=1d&events=history,
RXRX,3.79,USD,USD,1.000000,3.79,2026-06-01,yahoo,https://query1.finance.yahoo.com/v8/finance/chart/RXRX?period1=1779062400&period2=1780531200&interval=1d&events=history,
SGML,16.36,USD,USD,1.000000,16.36,2026-06-01,yahoo,https://query1.finance.yahoo.com/v8/finance/chart/SGML?period1=1779062400&period2=1780531200&interval=1d&events=history,
SHLD,65.62,USD,USD,1.000000,65.62,2026-06-01,yahoo,https://query1.finance.yahoo.com/v8/finance/chart/SHLD?period1=1779062400&period2=1780531200&interval=1d&events=history,
SLS.TO,14.75,CAD,CAD,0.722585,10.66,2026-06-01,yahoo,https://query1.finance.yahoo.com/v8/finance/chart/SLS.TO?period1=1779062400&period2=1780531200&interval=1d&events=history,
SMR,12.89,USD,USD,1.000000,12.89,2026-06-01,yahoo,https://query1.finance.yahoo.com/v8/finance/chart/SMR?period1=1779062400&period2=1780531200&interval=1d&events=history,
URA,50.54,USD,USD,1.000000,50.54,2026-06-01,yahoo,https://query1.finance.yahoo.com/v8/finance/chart/URA?period1=1779062400&period2=1780531200&interval=1d&events=history,
USGDF,0.12,USD,USD,1.000000,0.12,2026-06-01,yahoo,https://query1.finance.yahoo.com/v8/finance/chart/USGDF?period1=1779062400&period2=1780531200&interval=1d&events=history,
UURAF,4.09,USD,USD,1.000000,4.09,2026-06-01,yahoo,https://query1.finance.yahoo.com/v8/finance/chart/UURAF?period1=1779062400&period2=1780531200&interval=1d&events=history,
UUUU,17.62,USD,USD,1.000000,17.62,2026-06-01,yahoo,https://query1.finance.yahoo.com/v8/finance/chart/UUUU?period1=1779062400&period2=1780531200&interval=1d&events=history,
XOVR,20.58,USD,USD,1.000000,20.58,2026-06-01,yahoo,https://query1.finance.yahoo.com/v8/finance/chart/XOVR?period1=1779062400&period2=1780531200&interval=1d&events=history,
